A79849
A79851
A79863
A99244
AB000604	BAA75824	gb|AB000604:4-1128	BAA75825	(gb|AB000604:4-731, 960)	BAA75826	gb|AB000604:709-1128
AB000605	BAA75827	gb|AB000605:4-1128	BAA75828	(gb|AB000605:4-731, 960)	BAA75829	gb|AB000605:709-1128
AB000606	BAA75830	gb|AB000606:4-1128	BAA75831	(gb|AB000606:4-731, 960)	BAA75832	gb|AB000606:709-1128
AB000607	BAA75833	gb|AB000607:4-1128	BAA75834	(gb|AB000607:4-731, 960)	BAA75835	gb|AB000607:709-1128
AB000608	BAA75836	gb|AB000608:4-1128	BAA75837	(gb|AB000608:4-731, 960)	BAA75838	gb|AB000608:709-1128
AB000609	BAA75839	gb|AB000609:4-1128	BAA75840	(gb|AB000609:4-731, 960)	BAA75841	gb|AB000609:709-1128
AB000610	BAA75842	gb|AB000610:4-1128	BAA75843	(gb|AB000610:4-731, 960)	BAA75844	gb|AB000610:709-1128
AB000611	BAA75845	gb|AB000611:4-1128	BAA75846	(gb|AB000611:4-731, 960)	BAA75847	gb|AB000611:709-1128
AB000612	BAA75848	gb|AB000612:5-1129	BAA75849	(gb|AB000612:5-732, 961)	BAA75850	gb|AB000612:710-1129
AB000613	BAA75851	gb|AB000613:4-1128	BAA75852	(gb|AB000613:4-731, 960)	BAA75853	gb|AB000613:709-1128
AB000614	BAA75854	gb|AB000614:4-1128	BAA75855	(gb|AB000614:4-731, 960)	BAA75856	gb|AB000614:709-1128
AB000720	BAA75857	gb|AB000720:4-1128	BAA75858	(gb|AB000720:4-731, 960)	BAA75859	gb|AB000720:709-1128
AB000721	BAA75860	gb|AB000721:5-1129	BAA75861	(gb|AB000721:5-732, 961)	BAA75862	gb|AB000721:710-1129
AB000722	BAA75863	gb|AB000722:4-1128	BAA75864	(gb|AB000722:4-731, 960)	BAA75865	gb|AB000722:709-1128
AB000723	BAA75866	gb|AB000723:4-1128	BAA75867	(gb|AB000723:4-731, 960)	BAA75868	gb|AB000723:709-1128
AB000724	BAA75869	gb|AB000724:4-1128	BAA75870	(gb|AB000724:4-731, 960)	BAA75871	gb|AB000724:709-1128
AB000725	BAA75872	gb|AB000725:4-1128	BAA75873	(gb|AB000725:4-731, 960)	BAA75874	gb|AB000725:709-1128
AB000726	BAA75875	gb|AB000726:5-1129	BAA75876	(gb|AB000726:5-732, 961)	BAA75877	gb|AB000726:710-1129
AB000727	BAA75878	gb|AB000727:5-1129	BAA75879	(gb|AB000727:5-732, 961)	BAA75880	gb|AB000727:710-1129
AB000728	BAA75881	gb|AB000728:4-1128	BAA75882	(gb|AB000728:4-731, 960)	BAA75883	gb|AB000728:709-1128
AB002469	BAA19602	(gb|AB002469:23-209, 523-884)	BAA19603	gb|AB002469:23-763
AB013806	BAA77284	gb|AB013806:<1->710
EU557652	ACE73152	gb|EU557652:<1-671	ACE73153	(gb|EU557652:<1-8, 481->671)
EU557653	ACE73160	gb|EU557653:<1-671	ACE73161	gb|EU557653:<481->671
EU557654	ACE73148	gb|EU557654:<1-671	ACE73149	(gb|EU557654:<1-8, 481->671)
EU557655	ACE73186	gb|EU557655:<1-671	ACE73187	gb|EU557655:<481->671
EU557656	ACE73214	gb|EU557656:<1-671	ACE73215	(gb|EU557656:<1-8, 481->671)
EU557657	ACE73178	gb|EU557657:<1-671	ACE73179	(gb|EU557657:<1-8, 481->671)
EU557658	ACE73182	gb|EU557658:<1-671	ACE73183	(gb|EU557658:<1-8, 481->671)
EU557659	ACE73168	gb|EU557659:<1-671	ACE73169	gb|EU557659:<481->671
EU557660	ACE73206	gb|EU557660:<1-671	ACE73207	(gb|EU557660:<1-8, 481->671)
EU557661	ACE73180	gb|EU557661:<1-671	ACE73181	(gb|EU557661:<1-8, 481->671)
EU557662	ACE73210	gb|EU557662:<1-671	ACE73211	(gb|EU557662:<1-8, 481->671)
EU557663	ACE73164	gb|EU557663:<1-671	ACE73165	(gb|EU557663:<1-8, 481->671)
EU557664	ACE73196	gb|EU557664:<1-671	ACE73197	gb|EU557664:<481->671
EU557665	ACE73188	gb|EU557665:<1-671	ACE73189	(gb|EU557665:<1-8, 481->671)
EU557666	ACE73218	gb|EU557666:<1-671	ACE73219	(gb|EU557666:<1-8, 481->671)
EU557667	ACE73208	gb|EU557667:<1-632	ACE73209	gb|EU557667:<481->671
EU557668	ACE73184	gb|EU557668:<1-671	ACE73185	gb|EU557668:<481->671
EU557669	ACE73146	gb|EU557669:<1-671	ACE73147	(gb|EU557669:<1-8, 481->671)
EU564106	ACE78933	gb|EU564106:1-1701
EU564107	ACE78934	gb|EU564107:1-1698
EU564108	ACE78935	gb|EU564108:1-1698
EU564109	ACE78936	gb|EU564109:7-1704
EU564110	ACE78937	gb|EU564110:<1->648
EU564111	ACE78938	gb|EU564111:<1->664
EU564112	ACE78939	gb|EU564112:<1->691
EU564113	ACE78940	gb|EU564113:<1->682
EU564114	ACE78941	gb|EU564114:21-1715
EU564115	ACE78942	gb|EU564115:1-1701
EU566952	ACB11738	gb|EU566952:1-1755
EU566953	ACB11739	gb|EU566953:<1-296	ACB11740	gb|EU566953:1-1401
EU566954	ACB11741	gb|EU566954:<1-296	ACB11742	gb|EU566954:1-1401
EU566955	ACB11743	gb|EU566955:1-1755
EU566956	ACB11744	gb|EU566956:<1-296	ACB11745	gb|EU566956:1-1401
EU566957	ACB11746	gb|EU566957:<1-296	ACB11747	gb|EU566957:1-1401
EU566958	ACB11748	gb|EU566958:1-1755
EU566959	ACB11749	gb|EU566959:1-1755
EU566960	ACB11750	gb|EU566960:<1-296	ACB11751	gb|EU566960:1-1401
EU566961	ACB11752	gb|EU566961:1-1755
EU566962	ACB11753	gb|EU566962:<1-296	ACB11754	gb|EU566962:1-1401
EU566963	ACB11755	gb|EU566963:1-1755
EU566964	ACB11756	gb|EU566964:<1-296	ACB11757	gb|EU566964:1-1401
EU566965	ACB11758	gb|EU566965:1-1755
EU566966	ACB11759	gb|EU566966:1-1698
EU566967	ACB11760	gb|EU566967:1-1701
EU566968	ACB11761	gb|EU566968:1-1413
EU566969	ACB11762	gb|EU566969:1-1413
EU566970	ACB11763	gb|EU566970:1-1698
EU566971	ACB11764	gb|EU566971:1-1410
EU566972	ACB11765	gb|EU566972:1-1413
EU566973	ACB11766	gb|EU566973:1-1701
EU566974	ACB11767	gb|EU566974:1-1413
EU566975	ACB11768	gb|EU566975:1-1698
EU566976	ACB11769	gb|EU566976:1-1698
EU566977	ACB11770	gb|EU566977:1-1413
EU566978	ACB11771	gb|EU566978:1-1413
EU566979	ACB11772	gb|EU566979:1-1698
EU566980	ACB11773	gb|EU566980:1-1413
EU566981	ACB11774	gb|EU566981:1-1698
EU566982	ACB11775	gb|EU566982:1-1698
EU566983	ACB11776	gb|EU566983:1-1413
EU566984	ACB11777	gb|EU566984:1-1698
EU566985	ACB11778	gb|EU566985:1-1410
EU566986	ACB11779	gb|EU566986:1-1698
EU566987	ACB11780	gb|EU566987:1-1413
EU566988	ACB11781	gb|EU566988:1-1410
EU566989	ACB11782	gb|EU566989:1-1698
EU566990	ACB11783	gb|EU566990:1-1698
EU566991	ACB11784	gb|EU566991:1-1698
EU566992	ACB11785	gb|EU566992:1-1413
EU566993	ACB11786	gb|EU566993:1-1698
EU566994	ACB11787	gb|EU566994:1-1410
EU566995	ACB11788	gb|EU566995:1-1701
EU566996	ACB11789	gb|EU566996:1-1413
EU566997	ACB11790	gb|EU566997:1-1410
EU566998	ACB11791	gb|EU566998:1-1413
EU566999	ACB11792	gb|EU566999:1-1413
EU567000	ACB11793	gb|EU567000:1-1698
EU567001	ACB11794	gb|EU567001:1-1413
EU567002	ACB11795	gb|EU567002:1-1413
EU567003	ACB11796	gb|EU567003:1-1413
EU567004	ACB11797	gb|EU567004:1-1701
EU567005	ACB11798	gb|EU567005:1-1413
EU567006	ACB11799	gb|EU567006:1-1413
EU567007	ACB11800	gb|EU567007:1-1698
EU567008	ACB11801	gb|EU567008:1-1701
EU567009	ACB11802	gb|EU567009:1-1413
EU567010	ACB11803	gb|EU567010:1-1701
EU567011	ACB11804	gb|EU567011:1-1413
EU567012	ACB11805	gb|EU567012:1-1701
EU567013	ACB11806	gb|EU567013:1-1698
EU567014	ACB11807	gb|EU567014:1-1413
EU567015	ACB11808	gb|EU567015:1-1698
EU567016	ACB11809	gb|EU567016:1-1410
EU567017	ACB11810	gb|EU567017:1-1413
EU567018	ACB11811	gb|EU567018:1-1413
EU567019	ACB11812	gb|EU567019:1-1698
EU570805	ACB78120	gb|EU570805:<1->495
EU570806	ACB78121	gb|EU570806:<1->495
EU570807	ACB78122	gb|EU570807:<1->495
EU570808	ACB78123	gb|EU570808:<1->495
EU570809	ACB78124	gb|EU570809:<1->495
EU573938	ACB70204	gb|EU573938:34-1716
EU573939	ACB70205	gb|EU573939:34-1716
EU573940	ACB70206	gb|EU573940:34-1716
EU573941	ACB70207	gb|EU573941:34-1716
EU574919	ACB72442	gb|EU574919:12-2291
EU574920	ACB72443	(gb|EU574920:1-26, 715->957)	ACB72444	gb|EU574920:1-759
EU574921	ACB72445	gb|EU574921:1-1350
EU574922	ACB72446	gb|EU574922:1-1497
EU574923	ACB72447	(gb|EU574923:1-30, 488-823)	ACB72448	gb|EU574923:1-678
EU574924	ACB72449	gb|EU574924:1-2151
EU574925	ACB72450	gb|EU574925:1-2274	ACB72451	gb|EU574925:95-367
EU574926	ACB72452	gb|EU574926:1-2280
EU574927	ACB72453	gb|EU574927:1-1707
EU580546	ACE78943	gb|EU580546:<1->386
EU580547	ACE78944	gb|EU580547:16-774	ACE78945	(gb|EU580547:16-41, 730->989)
EU580548	ACE78946	gb|EU580548:<1-680	ACE78947	(gb|EU580548:<1-17, 490->818)
EU580549	ACE78948	gb|EU580549:<1-682	ACE78949	(gb|EU580549:<1-19, 492->805)
EU580550	ACE78950	gb|EU580550:<1-746	ACE78951	(gb|EU580550:<1-13, 702->954)
EU580551	ACE78952	gb|EU580551:<1-751	ACE78953	(gb|EU580551:<1-18, 707->964)
EU580552	ACE78954	gb|EU580552:1-693	ACE78955	(gb|EU580552:1-30, 503-838)
EU580553	ACE78956	gb|EU580553:7-699	ACE78957	(gb|EU580553:7-36, 509-844)
EU580554	ACE78958	gb|EU580554:<1-751	ACE78959	(gb|EU580554:<1-18, 707->960)
EU580555	ACE78960	gb|EU580555:16-774	ACE78961	(gb|EU580555:16-41, 730-997)
EU580556	ACE78962	gb|EU580556:22-714	ACE78963	(gb|EU580556:22-51, 524-859)
EU580557	ACE78964	gb|EU580557:<1->265
EU580558	ACE78965	gb|EU580558:<1->390
EU580559	ACE78966	gb|EU580559:<1->267
EU580560	ACE78967	gb|EU580560:<1->398
EU580561	ACE78968	gb|EU580561:<1->397
EU580562	ACE78969	gb|EU580562:<1->390
EU580563	ACE78970	gb|EU580563:<1-1693
EU580564	ACE78971	gb|EU580564:<1-1693
EU580565	ACE78972	gb|EU580565:<1-1693
EU580566	ACE78973	gb|EU580566:<1-1693
EU580567	ACE78974	gb|EU580567:<1-1693
EU580568	ACE78975	gb|EU580568:<1->956
EU580569	ACE78976	gb|EU580569:<1-1411
EU580570	ACE78977	gb|EU580570:<1-1411
EU580571	ACE78978	gb|EU580571:<1-1411
EU580572	ACE78979	gb|EU580572:<1-1411
EU580573	ACE78980	gb|EU580573:<1-1411
EU580574	ACE78981	gb|EU580574:<1-1411
EU580575	ACE78982	gb|EU580575:<1-1411
EU580576	ACE78983	gb|EU580576:22-1719
EU580577	ACE78984	gb|EU580577:23-1720
EU580578	ACE78985	gb|EU580578:15-707	ACE78986	(gb|EU580578:15-44, 517-852)
EU580579	ACE78987	gb|EU580579:15-707	ACE78988	(gb|EU580579:15-44, 517-852)
EU580580	ACE78989	gb|EU580580:15-707	ACE78990	(gb|EU580580:15-44, 517-852)
EU580581	ACE78991	gb|EU580581:15-707	ACE78992	(gb|EU580581:15-44, 517-852)
EU580582	ACE78993	gb|EU580582:15-707	ACE78994	(gb|EU580582:15-44, 517-852)
EU580583	ACE78995	gb|EU580583:15-707	ACE78996	(gb|EU580583:15-44, 517-852)
EU580584	ACE78997	gb|EU580584:15-707	ACE78998	(gb|EU580584:15-44, 517-852)
EU580585	ACE78999	gb|EU580585:15-707	ACE79000	(gb|EU580585:15-44, 517-852)
EU580586	ACE79001	gb|EU580586:15-707	ACE79002	(gb|EU580586:15-44, 517-852)
EU580587	ACE79003	gb|EU580587:15-707	ACE79004	(gb|EU580587:15-44, 517-852)
EU580588	ACE79005	gb|EU580588:14-772	ACE79006	(gb|EU580588:14-39, 728-995)
EU580589	ACE79007	gb|EU580589:14-772	ACE79008	(gb|EU580589:14-39, 728-995)
EU580590	ACE79009	gb|EU580590:14-772	ACE79010	(gb|EU580590:14-39, 728-995)
EU580591	ACE79011	gb|EU580591:14-772	ACE79012	(gb|EU580591:14-39, 728-995)
EU580592	ACE79013	gb|EU580592:14-772	ACE79014	(gb|EU580592:14-39, 728-995)
EU580593	ACE79015	gb|EU580593:14-772	ACE79016	(gb|EU580593:14-39, 728-995)
EU580594	ACE79017	gb|EU580594:14-772	ACE79018	(gb|EU580594:14-39, 728-995)
EU580595	ACE79019	gb|EU580595:14-772	ACE79020	(gb|EU580595:14-39, 728-995)
EU580596	ACE79021	gb|EU580596:16-774	ACE79022	(gb|EU580596:16-41, 730-997)
EU580597	ACE79023	gb|EU580597:1-693	ACE79024	(gb|EU580597:1-30, 503-838)
EU587368	ACC55270	gb|EU587368:1-1659
EU587369	ACC55271	gb|EU587369:25-2298
EU587370	ACC55272	gb|EU587370:25-2175
EU587371	ACC55273	gb|EU587371:<1->1446
EU587372	ACC55274	gb|EU587372:33-1394
EU587373	ACC55275	gb|EU587373:1-759	ACC55276	(gb|EU587373:1-26, 715-982)
EU587374	ACC55277	gb|EU587374:12-704	ACC55278	(gb|EU587374:12-41, 514-849)
EU590684	ACB47229	gb|EU590684:1-759	ACB47230	(gb|EU590684:1-26, 715-982)
EU590685	ACB47231	gb|EU590685:1->1484
EU590686	ACB47232	gb|EU590686:1-678	ACB47233	(gb|EU590686:1-30, 488->807)
EU590687	ACB47234	gb|EU590687:1-2151
EU590688	ACB47235	gb|EU590688:1-2274
EU590689	ACB47236	gb|EU590689:1->2212
EU590690	ACB47237	gb|EU590690:1-759	ACB47238	(gb|EU590690:1-26, 715-982)
EU590691	ACB47239	gb|EU590691:1-1497
EU590692	ACB47240	gb|EU590692:1-678	ACB47241	(gb|EU590692:1-30, 488-823)
EU590693	ACB47242	gb|EU590693:1-2151
EU590694	ACB47243	gb|EU590694:1-2274
EU590695	ACB47244	gb|EU590695:1-2280
EU594346	ACF16397	gb|EU594346:28-2307
EU594347	ACF16398	gb|EU594347:25-2298
EU594348	ACF16399	gb|EU594348:25-2175
EU594349	ACF16400	gb|EU594349:29-1732
EU594350	ACF16401	gb|EU594350:46-1542
EU594351	ACF16402	gb|EU594351:21-1370
EU594352	ACF16403	gb|EU594352:26-784	ACF16404	(gb|EU594352:26-51, 740-1007)
EU594353	ACF16405	gb|EU594353:27-704	ACF16406	(gb|EU594353:27-56, 514-849)
EU596411	ACC61060	gb|EU596411:1-1350
EU597800	ACC60955	gb|EU597800:28-2307
EU597801	ACC60956	gb|EU597801:25-2298	ACC60957	gb|EU597801:119-391
EU597802	ACC60958	gb|EU597802:25-2175
EU597803	ACC60959	gb|EU597803:46-1542
EU597804	ACC60960	gb|EU597804:27-719	ACC60961	(gb|EU597804:27-56, 529-864)
EU597805	ACC60962	gb|EU597805:26-784	ACC60963	(gb|EU597805:26-51, 740-1007)
EU597867	ACC60388	(gb|EU597867:1-26, 715-982)	ACC60389	gb|EU597867:1-759
EU597868	ACC60390	(gb|EU597868:1-26, 715-982)	ACC60391	gb|EU597868:1-759
EU597869	ACC60392	(gb|EU597869:1-26, 715-982)	ACC60393	gb|EU597869:1-759
EU597870	ACC60394	(gb|EU597870:1-26, 715-982)	ACC60395	gb|EU597870:1-759
EU597871	ACC60396	(gb|EU597871:1-26, 715-982)	ACC60397	gb|EU597871:1-759
EU597872	ACC60398	(gb|EU597872:1-26, 715-982)	ACC60399	gb|EU597872:1-759
EU597873	ACC60400	(gb|EU597873:1-26, 715-982)	ACC60401	gb|EU597873:1-759
EU597874	ACC60402	(gb|EU597874:1-26, 715-982)	ACC60403	gb|EU597874:1-759
EU597875	ACC60404	(gb|EU597875:1-26, 715-982)	ACC60405	gb|EU597875:1-759
EU597876	ACC60406	(gb|EU597876:1-26, 715-982)	ACC60407	gb|EU597876:1-759
EU597877	ACC60408	(gb|EU597877:1-26, 715-982)	ACC60409	gb|EU597877:1-759
EU597878	ACC60410	(gb|EU597878:1-26, 715-982)	ACC60411	gb|EU597878:1-759
EU597879	ACC60412	(gb|EU597879:1-26, 715-982)	ACC60413	gb|EU597879:1-759
EU597880	ACC60414	(gb|EU597880:1-26, 715-982)	ACC60415	gb|EU597880:1-759
EU597881	ACC60416	(gb|EU597881:1-26, 715-982)	ACC60417	gb|EU597881:1-759
EU597882	ACC60418	(gb|EU597882:1-26, 715-982)	ACC60419	gb|EU597882:1-759
EU597883	ACC60420	(gb|EU597883:1-26, 715-982)	ACC60421	gb|EU597883:1-759
EU597884	ACC60422	(gb|EU597884:1-26, 715-982)	ACC60423	gb|EU597884:1-759
EU597885	ACC60424	(gb|EU597885:1-26, 715-982)	ACC60425	gb|EU597885:1-759
EU597886	ACC60426	(gb|EU597886:1-26, 715-982)	ACC60427	gb|EU597886:1-759
EU597887	ACC60428	(gb|EU597887:1-26, 715-982)	ACC60429	gb|EU597887:1-759
EU597888	ACC60430	(gb|EU597888:1-26, 715-982)	ACC60431	gb|EU597888:1-759
EU597889	ACC60432	(gb|EU597889:1-26, 715-982)	ACC60433	gb|EU597889:1-759
EU597890	ACC60434	(gb|EU597890:1-26, 715-982)	ACC60435	gb|EU597890:1-759
EU597891	ACC60436	(gb|EU597891:1-26, 715-982)	ACC60437	gb|EU597891:1-759
EU597892	ACC60438	(gb|EU597892:1-26, 715-982)	ACC60439	gb|EU597892:1-759
EU597893	ACC60440	(gb|EU597893:1-26, 715-982)	ACC60441	gb|EU597893:1-759
EU597894	ACC60442	(gb|EU597894:1-26, 715-982)	ACC60443	gb|EU597894:1-759
EU597895	ACC60444	(gb|EU597895:1-26, 715-982)	ACC60445	gb|EU597895:1-759
EU597896	ACC60446	(gb|EU597896:1-26, 715-982)	ACC60447	gb|EU597896:1-759
EU597897	ACC60448	(gb|EU597897:1-26, 715-982)	ACC60449	gb|EU597897:1-759
EU597898	ACC60450	(gb|EU597898:1-26, 715-982)	ACC60451	gb|EU597898:1-759
EU597899	ACC60452	(gb|EU597899:1-26, 715-982)	ACC60453	gb|EU597899:1-759
EU597900	ACC60454	(gb|EU597900:1-26, 715-982)	ACC60455	gb|EU597900:1-759
EU597901	ACC60456	(gb|EU597901:1-26, 715-982)	ACC60457	gb|EU597901:1-759
EU597902	ACC60458	(gb|EU597902:1-26, 715-982)	ACC60459	gb|EU597902:1-759
EU597903	ACC60460	(gb|EU597903:1-26, 715-982)	ACC60461	gb|EU597903:1-759
EU597904	ACC60462	(gb|EU597904:1-26, 715-982)	ACC60463	gb|EU597904:1-759
EU597905	ACC60464	(gb|EU597905:1-26, 715-982)	ACC60465	gb|EU597905:1-759
EU597906	ACC60466	(gb|EU597906:1-26, 715-982)	ACC60467	gb|EU597906:1-759
EU597907	ACC60468	(gb|EU597907:1-26, 715-982)	ACC60469	gb|EU597907:1-759
EU597908	ACC60470	(gb|EU597908:1-26, 715-982)	ACC60471	gb|EU597908:1-759
EU597909	ACC60472	(gb|EU597909:1-26, 715-982)	ACC60473	gb|EU597909:1-759
EU597910	ACC60474	(gb|EU597910:1-26, 715-982)	ACC60475	gb|EU597910:1-759
EU597911	ACC60476	(gb|EU597911:1-26, 715-982)	ACC60477	gb|EU597911:1-759
EU597912	ACC60478	(gb|EU597912:1-26, 715-982)	ACC60479	gb|EU597912:1-759
EU597913	ACC60480	(gb|EU597913:1-26, 715-982)	ACC60481	gb|EU597913:1-759
EU597914	ACC60482	(gb|EU597914:1-26, 715-982)	ACC60483	gb|EU597914:1-759
EU597915	ACC60484	(gb|EU597915:1-26, 715-982)	ACC60485	gb|EU597915:1-759
EU597916	ACC60486	(gb|EU597916:1-26, 715-982)	ACC60487	gb|EU597916:1-759
EU597917	ACC60488	(gb|EU597917:1-26, 715-982)	ACC60489	gb|EU597917:1-759
EU597918	ACC60490	(gb|EU597918:1-26, 715-982)	ACC60491	gb|EU597918:1-759
EU597919	ACC60492	(gb|EU597919:1-26, 715-982)	ACC60493	gb|EU597919:1-759
EU597920	ACC60494	(gb|EU597920:1-26, 715-982)	ACC60495	gb|EU597920:1-759
EU597921	ACC60496	(gb|EU597921:1-26, 715-982)	ACC60497	gb|EU597921:1-759
EU597922	ACC60498	(gb|EU597922:1-26, 715-982)	ACC60499	gb|EU597922:1-759
EU597923	ACC60500	(gb|EU597923:1-26, 715-982)	ACC60501	gb|EU597923:1-759
EU597924	ACC60502	(gb|EU597924:1-26, 715-982)	ACC60503	gb|EU597924:1-759
EU597925	ACC60504	(gb|EU597925:1-26, 715-982)	ACC60505	gb|EU597925:1-759
EU597926	ACC60506	(gb|EU597926:1-26, 715-982)	ACC60507	gb|EU597926:1-759
EU597927	ACC60508	(gb|EU597927:1-26, 715-982)	ACC60509	gb|EU597927:1-759
EU597928	ACC60510	(gb|EU597928:1-26, 715-982)	ACC60511	gb|EU597928:1-759
EU597929	ACC60512	(gb|EU597929:1-26, 715-982)	ACC60513	gb|EU597929:1-759
EU597930	ACC60514	(gb|EU597930:1-26, 715-982)	ACC60515	gb|EU597930:1-759
EU597931	ACC60516	(gb|EU597931:1-26, 715-982)	ACC60517	gb|EU597931:1-759
EU597932	ACC60518	(gb|EU597932:1-26, 715-982)	ACC60519	gb|EU597932:1-759
EU597933	ACC60520	(gb|EU597933:1-26, 715-982)	ACC60521	gb|EU597933:1-759
EU597934	ACC60522	(gb|EU597934:1-26, 715-982)	ACC60523	gb|EU597934:1-759
EU597935	ACC60524	(gb|EU597935:1-26, 715-982)	ACC60525	gb|EU597935:1-759
EU597936	ACC60526	(gb|EU597936:1-26, 715-982)	ACC60527	gb|EU597936:1-759
EU597937	ACC60528	(gb|EU597937:1-26, 715-982)	ACC60529	gb|EU597937:1-759
EU597938	ACC60530	(gb|EU597938:1-26, 715-982)	ACC60531	gb|EU597938:1-759
EU597939	ACC60532	(gb|EU597939:1-26, 715-982)	ACC60533	gb|EU597939:1-759
EU597940	ACC60534	(gb|EU597940:1-26, 715-982)	ACC60535	gb|EU597940:1-759
EU597941	ACC60536	(gb|EU597941:1-26, 715-982)	ACC60537	gb|EU597941:1-759
EU597942	ACC60538	(gb|EU597942:1-26, 715-982)	ACC60539	gb|EU597942:1-759
EU597943	ACC60540	(gb|EU597943:1-26, 715-982)	ACC60541	gb|EU597943:1-759
EU597944	ACC60542	(gb|EU597944:1-26, 715-982)	ACC60543	gb|EU597944:1-759
EU597945	ACC60544	(gb|EU597945:1-26, 715-982)	ACC60545	gb|EU597945:1-759
EU597946	ACC60546	(gb|EU597946:1-26, 715-982)	ACC60547	gb|EU597946:1-759
EU597947	ACC60548	(gb|EU597947:1-26, 715-982)	ACC60549	gb|EU597947:1-759
EU597948	ACC60550	(gb|EU597948:1-26, 715-982)	ACC60551	gb|EU597948:1-759
EU597949	ACC60552	(gb|EU597949:1-26, 715-982)	ACC60553	gb|EU597949:1-759
EU597950	ACC60554	(gb|EU597950:1-26, 715-982)	ACC60555	gb|EU597950:1-759
EU597951	ACC60556	(gb|EU597951:1-26, 715-982)	ACC60557	gb|EU597951:1-759
EU597952	ACC60558	(gb|EU597952:1-26, 715-982)	ACC60559	gb|EU597952:1-759
EU597953	ACC60560	(gb|EU597953:1-26, 715-982)	ACC60561	gb|EU597953:1-759
EU597954	ACC60562	(gb|EU597954:1-26, 715-982)	ACC60563	gb|EU597954:1-759
EU597955	ACC60564	(gb|EU597955:1-26, 715-982)	ACC60565	gb|EU597955:1-759
EU597956	ACC60566	(gb|EU597956:1-26, 715-982)	ACC60567	gb|EU597956:1-759
EU597957	ACC60568	(gb|EU597957:1-26, 715-982)	ACC60569	gb|EU597957:1-759
EU597958	ACC60570	(gb|EU597958:1-26, 715-982)	ACC60571	gb|EU597958:1-759
EU597959	ACC60572	(gb|EU597959:1-26, 715-982)	ACC60573	gb|EU597959:1-759
EU597960	ACC60574	(gb|EU597960:1-26, 715-982)	ACC60575	gb|EU597960:1-759
EU597961	ACC60576	(gb|EU597961:1-26, 715-982)	ACC60577	gb|EU597961:1-759
EU597962	ACC60578	(gb|EU597962:1-26, 715-982)	ACC60579	gb|EU597962:1-759
EU597963	ACC60580	(gb|EU597963:1-26, 715-982)	ACC60581	gb|EU597963:1-759
EU597964	ACC60582	(gb|EU597964:1-26, 715-982)	ACC60583	gb|EU597964:1-759
EU597965	ACC60584	(gb|EU597965:1-26, 715-982)	ACC60585	gb|EU597965:1-759
EU597966	ACC60586	(gb|EU597966:1-26, 715-982)	ACC60587	gb|EU597966:1-759
EU597967	ACC60588	(gb|EU597967:1-26, 715-982)	ACC60589	gb|EU597967:1-759
EU597968	ACC60590	(gb|EU597968:1-26, 715-982)	ACC60591	gb|EU597968:1-759
EU597969	ACC60592	(gb|EU597969:1-26, 715-982)	ACC60593	gb|EU597969:1-759
EU597970	ACC60594	(gb|EU597970:1-26, 715-982)	ACC60595	gb|EU597970:1-759
EU597971	ACC60596	(gb|EU597971:1-26, 715-982)	ACC60597	gb|EU597971:1-759
EU597972	ACC60598	(gb|EU597972:1-26, 715-982)	ACC60599	gb|EU597972:1-759
EU597973	ACC60600	(gb|EU597973:1-26, 715-982)	ACC60601	gb|EU597973:1-759
EU597974	ACC60602	(gb|EU597974:1-26, 715-982)	ACC60603	gb|EU597974:1-759
EU597975	ACC60604	(gb|EU597975:1-26, 715-982)	ACC60605	gb|EU597975:1-759
EU597976	ACC60606	(gb|EU597976:1-26, 715-982)	ACC60607	gb|EU597976:1-759
EU597977	ACC60608	(gb|EU597977:1-26, 715-982)	ACC60609	gb|EU597977:1-759
EU597978	ACC60610	(gb|EU597978:1-26, 715-982)	ACC60611	gb|EU597978:1-759
EU597979	ACC60612	(gb|EU597979:1-26, 715-982)	ACC60613	gb|EU597979:1-759
EU597980	ACC60614	(gb|EU597980:1-26, 715-982)	ACC60615	gb|EU597980:1-759
EU597981	ACC60616	(gb|EU597981:1-26, 715-982)	ACC60617	gb|EU597981:1-759
EU597982	ACC60618	(gb|EU597982:1-26, 715-982)	ACC60619	gb|EU597982:1-759
EU597983	ACC60620	(gb|EU597983:1-26, 715-982)	ACC60621	gb|EU597983:1-759
EU597984	ACC60622	(gb|EU597984:1-26, 715-982)	ACC60623	gb|EU597984:1-759
EU597985	ACC60624	(gb|EU597985:1-26, 715-982)	ACC60625	gb|EU597985:1-759
EU597986	ACC60626	(gb|EU597986:1-26, 715-982)	ACC60627	gb|EU597986:1-759
EU597987	ACC60628	(gb|EU597987:1-26, 715-982)	ACC60629	gb|EU597987:1-759
EU597988	ACC60630	(gb|EU597988:1-26, 715-982)	ACC60631	gb|EU597988:1-759
EU597989	ACC60632	(gb|EU597989:1-26, 715-982)	ACC60633	gb|EU597989:1-759
EU597990	ACC60634	(gb|EU597990:1-26, 715-982)	ACC60635	gb|EU597990:1-759
EU597991	ACC60636	(gb|EU597991:1-26, 715-982)	ACC60637	gb|EU597991:1-759
EU597992	ACC60638	(gb|EU597992:1-26, 715-982)	ACC60639	gb|EU597992:1-759
EU597993	ACC60640	(gb|EU597993:1-26, 715-982)	ACC60641	gb|EU597993:1-759
EU597994	ACC60642	(gb|EU597994:1-26, 715-982)	ACC60643	gb|EU597994:1-759
